root	legacy_semantic
sol	sol
ref	<reference>
mi	context:speaker
tu	context:addressee
na	proper_name
ke	ask_truth
ne	not
va	and
zo	or
ra	forall
mu	exists
da	command
me	request
per	person
anim	animal
lok	location
obj	physical_object
vid	see
aud	hear
mov	move
ven	arrive
vad	go_toward
don	give
ten	hold
hab	possess
fak	create
viv	alive
mor	die
nov	new_relative
vet	old_relative
bon	positive_by
mal	negative_by
ver	truth
fal	falsity
sim	similar_by
dif	different_by
par	equal_by
mag	greater_by
min	less_by
in	inside
sur	above
sub	below
prok	near_by
dist	far_by
zna	know
bel	believe
mem	remember
dum	think
nom	name_text
tekst	text_value
ling	language_entity
gov	speak
skrib	write
nau	context:now
ante	before
aft	after
pot	during
temp	time_value
sta	start
stop	cease
dur	continue
fin	finish
rup	interrupt
reg	habitual
rep	repeat
unk	information:unknown
vak	information:unspecified
hid	information:withheld
rov	exactly
mini	at_least
maks	at_most
set	set_pair
list	list_pair
grup	group_pair
kol	collective
dis	distributive
aso	association
imp	implies
hip	counterfactual
tip	typical
stat	statistical
prob	probability
frek	frequency
emo	express_affect
fok	focus
top	topic
ret	retract
kor	correct
klar	clarify
felis	affect_felis
satis	affect_satis
seren	affect_seren
amuz	affect_amuz
entuz	affect_entuz
inter	affect_inter
kuri	affect_kuri
esper	affect_esper
relif	affect_relif
grati	affect_grati
admir	affect_admir
majes	affect_majes
tenda	affect_tenda
afek	affect_afek
amori	affect_amori
simpat	affect_simpat
kompa	affect_kompa
piti	affect_piti
empati	affect_empati
prid	affect_prid
trium	affect_trium
fidu	affect_fidu
unita	affect_unita
sekur	affect_sekur
trist	affect_trist
grif	affect_grif
timor	affect_timor
anks	affect_anks
dred	affect_dred
panik	affect_panik
furor	affect_furor
irit	affect_irit
frus	affect_frus
resent	affect_resent
odio	affect_odio
avers	affect_avers
kontem	affect_kontem
vergon	affect_vergon
kulpa	affect_kulpa
embar	affect_embar
humil	affect_humil
regri	affect_regri
remor	affect_remor
disap	affect_disap
desol	affect_desol
lonel	affect_lonel
envi	affect_envi
jelos	affect_jelos
boren	affect_boren
nemog	affect_nemog
stres	affect_stres
opres	affect_opres
surpri	affect_surpri
nosta	affect_nosta
langu	affect_langu
konfi	affect_konfi
dubia	affect_dubia
antik	affect_antik
avida	affect_avida
konfus	affect_konfus
romat	affect_romat
eros	affect_eros
eruz	state_eruz
libid	state_libid
orgaz	event_orgaz
hedon	state_hedon
komfor	state_komfor
dolor	state_dolor
nelag	state_nelag
famen	state_famen
tirst	state_tirst
satur	state_satur
nause	state_nause
prur	state_prur
verti	state_verti
dispne	state_dispne
fati	state_fati
somni	state_somni
vigir	state_vigir
frigi	state_frigi
kalor	state_kalor
superb	state_superb
avari	state_avari
lusta	state_lusta
gula	state_gula
leni	state_leni
